,month,gender,years,edu_lvl,etnicity,main_source,total
24762,JAN,f,49.0,tecnica_trunca,mestizo,250.0,450.0
24763,JAN,f,47.0,secundaria,mestizo,1025.0,1025.0
24764,JAN,f,22.0,uni_trunca,mestizo,1000.0,1000.0
24765,JAN,f,41.0,secundaria,mestizo,1454.0,1454.0
24766,JAN,m,22.0,uni_trunca,mestizo,1025.0,1025.0
24767,JAN,m,44.0,secundaria,mestizo,1500.0,1500.0
24768,JAN,m,44.0,secundaria,mestizo,672.0,672.0
24769,JAN,m,49.0,secundaria,quechua,1597.0,1597.0
24770,JAN,m,19.0,secundaria,mestizo,1400.0,2179.0
24771,JAN,f,54.0,secundaria,mestizo,1538.0,1538.0
24772,JAN,m,63.0,uni_trunca,mestizo,1299.0,1299.0
24773,JAN,f,25.0,tecnica,mestizo,1025.0,1025.0
24774,JAN,m,51.0,otro,quechua,1918.0,1918.0
24775,JAN,f,47.0,otro,quechua,1299.0,1299.0
24776,JAN,f,41.0,secundaria,quechua,1500.0,1500.0
24777,JAN,m,50.0,secundaria,quechua,1258.0,1258.0
24778,JAN,f,39.0,otro,quechua,600.0,600.0
24779,JAN,f,21.0,uni_trunca,quechua,500.0,500.0
24780,JAN,m,16.0,secundaria,quechua,108.0,108.0
24781,JAN,f,46.0,otro,amazonico,1647.0,1647.0
24782,JAN,m,39.0,otro,amazonico,1025.0,1025.0
24783,JAN,m,44.0,tecnica,mestizo,1200.0,1200.0
24784,JAN,m,34.0,tecnica_trunca,mestizo,2250.0,2250.0
24785,JAN,f,66.0,otro,quechua,1025.0,1025.0
24786,JAN,m,67.0,otro,mestizo,900.0,900.0
24787,JAN,f,35.0,secundaria,mestizo,1025.0,1025.0
24788,JAN,m,27.0,secundaria,mestizo,1197.0,1197.0
24789,JAN,f,66.0,otro,quechua,501.0,501.0
24790,JAN,m,39.0,secundaria,mestizo,1500.0,3000.0
24791,JAN,f,36.0,tecnica,mestizo,500.0,500.0
24792,JAN,f,57.0,otro,mestizo,1025.0,1025.0
24793,JAN,m,34.0,secundaria,quechua,2382.0,2382.0
24794,JAN,f,36.0,uni_trunca,mestizo,1099.0,1099.0
24795,JAN,m,39.0,otro,mestizo,1732.0,1732.0
24796,JAN,f,43.0,secundaria,mestizo,433.0,433.0
24797,JAN,m,50.0,otro,mestizo,1100.0,1100.0
24798,JAN,f,36.0,uni_completa,mestizo,2600.0,2600.0
24799,JAN,m,47.0,tecnica,mestizo,2831.0,2831.0
24800,JAN,m,45.0,uni_completa,mestizo,6300.0,6300.0
24801,JAN,f,47.0,uni_completa,mestizo,5000.0,5000.0
24802,JAN,m,41.0,uni_completa,mestizo,3000.0,3000.0
24803,JAN,f,46.0,tecnica,mestizo,1200.0,1200.0
24804,JAN,f,20.0,secundaria,mestizo,1500.0,1500.0
24805,JAN,f,67.0,secundaria,afroperuano,1000.0,1000.0
24806,JAN,f,37.0,uni_completa,mestizo,2000.0,2000.0
24807,JAN,f,39.0,uni_completa,mestizo,2600.0,2600.0
24808,JAN,m,34.0,uni_completa,mestizo,4000.0,4000.0
24809,JAN,f,56.0,uni_trunca,mestizo,1500.0,1500.0
24810,JAN,f,29.0,secundaria,quechua,2479.0,2479.0
24811,JAN,m,63.0,uni_trunca,quechua,1900.0,1900.0
24812,JAN,f,25.0,uni_completa,mestizo,3464.0,3464.0
24813,JAN,m,42.0,uni_completa,mestizo,3500.0,3500.0
24814,JAN,f,36.0,uni_completa,mestizo,2000.0,2000.0
24815,JAN,f,37.0,uni_trunca,mestizo,1590.0,1590.0
24816,JAN,f,39.0,tecnica_trunca,mestizo,420.0,620.0
24817,JAN,f,72.0,otro,mestizo,511.0,511.0
24818,JAN,m,46.0,tecnica,mestizo,1516.0,1516.0
24819,JAN,m,35.0,uni_completa,mestizo,8000.0,8000.0
24820,JAN,f,39.0,uni_completa,mestizo,7000.0,7000.0
24821,JAN,m,56.0,uni_completa,quechua,3500.0,3500.0
24822,JAN,f,20.0,uni_trunca,quechua,561.0,561.0
24823,JAN,m,41.0,uni_completa,mestizo,3500.0,3500.0
24824,JAN,m,58.0,otro,mestizo,1500.0,1500.0
24825,JAN,f,51.0,secundaria,mestizo,1083.0,1083.0
24826,JAN,f,29.0,secundaria,mestizo,1083.0,1083.0
24827,JAN,m,27.0,tecnica,mestizo,1386.0,2586.0
24828,JAN,f,26.0,tecnica,mestizo,1250.0,1250.0
24829,JAN,f,70.0,otro,quechua,300.0,300.0
24830,JAN,f,66.0,otro,quechua,1500.0,1500.0
24831,JAN,m,40.0,secundaria,mestizo,2498.0,2498.0
24832,JAN,m,30.0,uni_trunca,mestizo,2000.0,2000.0
24833,JAN,f,49.0,uni_completa,mestizo,1600.0,1600.0
24834,JAN,m,47.0,tecnica,mestizo,680.0,680.0
24835,JAN,m,50.0,secundaria,mestizo,1050.0,1050.0
24836,JAN,m,22.0,tecnica,mestizo,1025.0,1025.0
24837,JAN,m,57.0,secundaria,mestizo,1030.0,1030.0
24838,JAN,f,36.0,uni_completa,mestizo,4000.0,8000.0
24839,JAN,m,41.0,uni_completa,mestizo,6000.0,6000.0
24840,JAN,f,34.0,uni_completa,mestizo,2300.0,2300.0
24841,JAN,f,47.0,uni_completa,mestizo,2600.0,2600.0
24842,JAN,f,59.0,secundaria,mestizo,2000.0,2000.0
24843,JAN,m,25.0,uni_trunca,mestizo,1700.0,1700.0
24844,JAN,m,63.0,otro,mestizo,1050.0,1050.0
24845,JAN,m,39.0,uni_trunca,mestizo,726.0,726.0
24846,JAN,m,34.0,secundaria,quechua,1611.0,2661.0
24847,JAN,m,60.0,secundaria,mestizo,1025.0,1025.0
24848,JAN,m,30.0,secundaria,mestizo,1700.0,1700.0
24849,JAN,f,27.0,tecnica_trunca,mestizo,260.0,260.0
24850,JAN,f,62.0,maestria,mestizo,2500.0,2500.0
24851,JAN,m,65.0,uni_trunca,mestizo,1500.0,1500.0
24852,JAN,m,66.0,uni_trunca,mestizo,3600.0,3600.0
24853,JAN,m,36.0,uni_completa,mestizo,2000.0,2000.0
24854,JAN,m,66.0,uni_completa,mestizo,4900.0,4900.0
24855,JAN,f,60.0,uni_completa,quechua,2300.0,2300.0
24856,JAN,m,73.0,tecnica,quechua,1100.0,2000.0
24857,JAN,m,38.0,tecnica,mestizo,2500.0,2500.0
24858,JAN,f,35.0,uni_completa,mestizo,2800.0,2800.0
24859,JAN,m,43.0,tecnica_trunca,mestizo,1460.0,1460.0
24860,JAN,m,44.0,secundaria,mestizo,1325.0,1325.0
24861,JAN,f,33.0,otro,mestizo,1443.0,1443.0
24862,JAN,f,47.0,otro,quechua,200.0,200.0
24863,JAN,m,47.0,otro,otro,1949.0,1949.0
24864,JAN,f,43.0,secundaria,mestizo,1500.0,1500.0
24865,JAN,f,22.0,uni_trunca,mestizo,6000.0,6000.0
24866,JAN,f,30.0,uni_completa,mestizo,1200.0,1750.0
24867,JAN,m,52.0,tecnica,mestizo,1025.0,1025.0
24868,JAN,m,31.0,secundaria,mestizo,2078.0,2078.0
24869,JAN,f,60.0,secundaria,afroperuano,1260.0,1260.0
24870,JAN,f,43.0,uni_completa,mestizo,330.0,330.0
24871,JAN,f,25.0,uni_completa,mestizo,2500.0,2500.0
24872,JAN,m,47.0,uni_completa,mestizo,5000.0,5000.0
24873,JAN,m,45.0,secundaria,mestizo,1516.0,1516.0
24874,JAN,f,45.0,tecnica,mestizo,200.0,200.0
24875,JAN,f,39.0,secundaria,otro,634.0,634.0
24876,JAN,f,45.0,secundaria,mestizo,443.0,443.0
24877,JAN,m,22.0,secundaria,mestizo,1443.0,1443.0
24878,JAN,f,61.0,tecnica_trunca,mestizo,2400.0,2400.0
24879,JAN,f,37.0,uni_completa,mestizo,1000.0,1000.0
24880,JAN,f,59.0,uni_completa,mestizo,2000.0,2000.0
24881,JAN,f,23.0,secundaria,otro,600.0,600.0
24882,JAN,m,25.0,secundaria,mestizo,1516.0,1516.0
24883,JAN,m,21.0,secundaria,mestizo,1145.0,1145.0
24884,JAN,m,48.0,tecnica,mestizo,1800.0,1800.0
24885,JAN,m,62.0,secundaria,mestizo,608.0,608.0
24886,JAN,f,20.0,secundaria,mestizo,2375.0,2675.0
24887,JAN,m,33.0,uni_completa,mestizo,5000.0,5000.0
24888,JAN,f,32.0,uni_completa,mestizo,6840.0,6840.0
24889,JAN,m,60.0,uni_completa,quechua,2000.0,6000.0
24890,JAN,m,75.0,otro,mestizo,1299.0,1299.0
