month,sex,age,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,education,ethnicity,main_src,total_src
feb,f,44,,,,,, ,,,826,826
feb,f,54,,,,,, ,,,1637,1637
feb,m,43,,,,,, ,,,730,1030
feb,f,61,,,,,, ,,,902,902
feb,f,50,,,,,, ,,,720,720
feb,m,57,,,,,, ,,,720,720
feb,m,59,,,,,, ,,,717,717
feb,m,62,,,,,, ,,,716,716
feb,f,58,,,,,, ,,,710,710
feb,m,50,,,,,, ,,,709,709
feb,m,47,,,,,, ,,,701,701
feb,f,48,,,,,, ,,,700,1000
feb,f,30,,,,,, ,,,740,740
feb,m,42,,,,,, ,,,680,680
feb,m,33,,,,,, ,,,700,700
feb,f,45,,,,,, ,,,675,975
feb,f,37,,,,,, ,,,785,785
feb,f,40,,,,,, ,,,708,708
feb,f,38,,,,,, ,,,716,716
feb,f,36,,,,,, ,,,708,708
feb,m,56,,,,,, ,,,823,823
feb,f,37,,,,,, ,,,1122,1122
feb,f,22,,,,,, ,,,665,665
feb,f,54,,,,,, ,,,664,664
feb,m,47,,,,,, ,,,660,660
feb,f,36,,,,,, ,,,660,660
feb,m,53,,,,,, ,,,950,950
feb,f,54,,,,,, ,,,650,650
feb,f,63,,,,,, ,,,650,650
feb,m,62,,,,,, ,,,649,649
feb,f,30,,,,,, ,,,649,649
feb,f,57,,,,,, ,,,947,947
feb,f,56,,,,,, ,,,857,857
feb,f,71,,,,,, ,,,700,700
feb,f,44,,,,,, ,,,634,634
feb,f,56,,,,,, ,,,630,630
feb,f,59,,,,,, ,,,890,890
feb,f,48,,,,,, ,,,629,629
feb,f,28,,,,,, ,,,640,640
feb,m,53,,,,,, ,,,620,620
feb,m,54,,,,,, ,,,620,620
feb,f,35,,,,,, ,,,609,609
feb,f,43,,,,,, ,,,600,900
feb,m,60,,,,,, ,,,600,600
feb,m,39,,,,,, ,,,600,600
feb,f,47,,,,,, ,,,600,600
feb,f,75,,,,,, ,,,600,600
feb,f,54,,,,,, ,,,600,600
feb,f,76,,,,,, ,,,600,600
feb,m,54,,,,,, ,,,600,600
feb,m,87,,,,,, ,,,600,600
feb,f,59,,,,,, ,,,600,600
feb,m,59,,,,,, ,,,600,600
feb,m,34,,,,,, ,,,600,600
feb,m,72,,,,,, ,,,600,600
feb,f,55,,,,,, ,,,600,600
feb,f,57,,,,,, ,,,594,594
feb,f,49,,,,,, ,,,589,589
feb,f,30,,,,,, ,,,563,563
feb,f,35,,,,,, ,,,861,861
feb,f,53,,,,,, ,,,560,560
feb,f,68,,,,,, ,,,554,854
feb,m,74,,,,,, ,,,560,560
feb,f,57,,,,,, ,,,551,551
feb,f,69,,,,,, ,,,537,537
feb,m,65,,,,,, ,,,530,530
feb,f,46,,,,,, ,,,580,580
feb,f,59,,,,,, ,,,585,585
feb,f,48,,,,,, ,,,670,670
feb,f,46,,,,,, ,,,520,520
feb,f,33,,,,,, ,,,519,519
feb,f,72,,,,,, ,,,613,713
feb,f,48,,,,,, ,,,556,756
feb,f,30,,,,,, ,,,1372,1372
feb,f,21,,,,,, ,,,500,900
feb,f,45,,,,,, ,,,500,750
feb,f,44,,,,,, ,,,500,500
feb,f,38,,,,,, ,,,500,500
feb,f,35,,,,,, ,,,620,620
feb,f,32,,,,,, ,,,500,500
feb,f,70,,,,,, ,,,610,610
feb,f,60,,,,,, ,,,955,955
feb,m,56,,,,,, ,,,500,500
feb,f,48,,,,,, ,,,510,510
feb,m,75,,,,,, ,,,500,500
feb,f,44,,,,,, ,,,586,586
feb,f,42,,,,,, ,,,499,499
feb,f,35,,,,,, ,,,585,585
feb,f,26,,,,,, ,,,495,495
feb,f,38,,,,,, ,,,560,960
feb,f,20,,,,,, ,,,500,500
feb,f,52,,,,,, ,,,1380,1380
feb,f,37,,,,,, ,,,476,476
feb,f,48,,,,,, ,,,620,700
feb,f,50,,,,,, ,,,1070,1070
feb,f,56,,,,,, ,,,470,470
feb,f,46,,,,,, ,,,560,560
feb,f,38,,,,,, ,,,509,509
feb,m,67,,,,,, ,,,460,460
feb,f,69,,,,,, ,,,450,1050
feb,f,37,,,,,, ,,,750,750
feb,m,30,,,,,, ,,,450,450
feb,f,36,,,,,, ,,,450,450
feb,m,67,,,,,, ,,,450,450
feb,f,63,,,,,, ,,,450,450
feb,f,48,,,,,, ,,,450,450
feb,m,28,,,,,, ,,,450,450
feb,f,65,,,,,, ,,,470,470
feb,f,33,,,,,, ,,,446,446
feb,m,18,,,,,, ,,,433,433
feb,f,49,,,,,, ,,,433,433
feb,f,47,,,,,, ,,,476,476
feb,f,48,,,,,, ,,,451,451
feb,f,48,,,,,, ,,,725,775
feb,f,39,,,,,, ,,,425,425
feb,f,64,,,,,, ,,,423,423
feb,m,54,,,,,, ,,,416,416
feb,f,30,,,,,, ,,,440,440
feb,f,49,,,,,, ,,,468,468
feb,m,65,,,,,, ,,,400,400
feb,m,29,,,,,, ,,,400,400
feb,m,22,,,,,, ,,,400,400
feb,f,35,,,,,, ,,,400,400
