month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,f,45,,,,,, ,,,1000,1000
FEB,f,43,,,,,, ,,,1300,1300
FEB,m,58,,,,,, ,,,1000,1000
FEB,m,64,,,,,, ,,,1000,1000
FEB,m,39,,,,,, ,,,1000,1000
FEB,m,38,,,,,, ,,,1000,1000
FEB,m,29,,,,,, ,,,1000,1000
FEB,m,61,,,,,, ,,,1000,1000
FEB,m,34,,,,,, ,,,1000,1000
FEB,f,51,,,,,, ,,,1010,1010
FEB,f,36,,,,,, ,,,980,980
FEB,m,72,,,,,, ,,,980,980
FEB,m,70,,,,,, ,,,1110,1110
FEB,f,28,,,,,, ,,,1270,1270
FEB,m,38,,,,,, ,,,970,970
FEB,m,46,,,,,, ,,,970,970
FEB,f,30,,,,,, ,,,1000,1000
FEB,f,50,,,,,, ,,,1785,1935
FEB,f,42,,,,,, ,,,1680,1680
FEB,f,52,,,,,, ,,,1190,1390
FEB,f,38,,,,,, ,,,950,950
FEB,m,60,,,,,, ,,,950,950
FEB,m,26,,,,,, ,,,939,939
FEB,f,39,,,,,, ,,,949,949
FEB,f,47,,,,,, ,,,918,918
FEB,f,52,,,,,, ,,,903,903
FEB,m,33,,,,,, ,,,900,900
FEB,m,28,,,,,, ,,,900,1900
FEB,f,37,,,,,, ,,,900,900
FEB,f,80,,,,,, ,,,910,910
FEB,m,50,,,,,, ,,,900,900
FEB,m,38,,,,,, ,,,900,900
FEB,f,65,,,,,, ,,,1020,1020
FEB,m,72,,,,,, ,,,900,900
FEB,m,69,,,,,, ,,,900,900
FEB,f,42,,,,,, ,,,1038,1038
FEB,f,54,,,,,, ,,,1084,1084
FEB,m,35,,,,,, ,,,866,1666
FEB,f,21,,,,,, ,,,876,876
FEB,m,53,,,,,, ,,,866,866
FEB,f,76,,,,,, ,,,886,886
FEB,m,59,,,,,, ,,,863,923
FEB,f,33,,,,,, ,,,960,960
FEB,f,55,,,,,, ,,,850,850
FEB,m,50,,,,,, ,,,836,836
FEB,f,49,,,,,, ,,,903,903
FEB,m,65,,,,,, ,,,825,825
FEB,f,30,,,,,, ,,,820,820
FEB,f,46,,,,,, ,,,1345,1345
FEB,f,56,,,,,, ,,,885,885
FEB,m,30,,,,,, ,,,805,805
FEB,m,39,,,,,, ,,,800,800
FEB,m,25,,,,,, ,,,800,800
FEB,m,38,,,,,, ,,,1800,2800
FEB,f,56,,,,,, ,,,800,800
FEB,m,67,,,,,, ,,,800,800
FEB,m,28,,,,,, ,,,800,800
FEB,f,26,,,,,, ,,,800,800
FEB,m,30,,,,,, ,,,800,800
FEB,f,49,,,,,, ,,,2000,2000
FEB,f,48,,,,,, ,,,800,800
FEB,m,61,,,,,, ,,,800,800
FEB,m,66,,,,,, ,,,800,800
FEB,m,50,,,,,, ,,,800,800
FEB,f,57,,,,,, ,,,860,860
FEB,f,59,,,,,, ,,,1100,1100
FEB,m,46,,,,,, ,,,800,800
FEB,m,45,,,,,, ,,,1189,1189
FEB,m,61,,,,,, ,,,792,792
FEB,f,66,,,,,, ,,,800,800
FEB,m,54,,,,,, ,,,779,1079
FEB,m,69,,,,,, ,,,779,779
FEB,f,25,,,,,, ,,,775,925
FEB,m,33,,,,,, ,,,859,859
FEB,m,32,,,,,, ,,,766,766
FEB,f,69,,,,,, ,,,1352,1352
FEB,f,30,,,,,, ,,,1020,1020
FEB,f,44,,,,,, ,,,1110,1110
FEB,m,57,,,,,, ,,,770,770
FEB,f,55,,,,,, ,,,793,793
FEB,f,40,,,,,, ,,,895,2015
FEB,f,31,,,,,, ,,,770,770
FEB,f,27,,,,,, ,,,740,740
FEB,m,50,,,,,, ,,,736,736
FEB,f,49,,,,,, ,,,736,736
FEB,f,44,,,,,, ,,,826,826
FEB,f,54,,,,,, ,,,1637,1637
FEB,m,43,,,,,, ,,,730,1030
FEB,f,61,,,,,, ,,,902,902
FEB,f,50,,,,,, ,,,720,720
FEB,m,57,,,,,, ,,,720,720
FEB,m,59,,,,,, ,,,717,717
FEB,m,62,,,,,, ,,,716,716
FEB,f,58,,,,,, ,,,710,710
FEB,m,50,,,,,, ,,,709,709
FEB,m,47,,,,,, ,,,701,701
FEB,f,48,,,,,, ,,,700,1000
FEB,f,30,,,,,, ,,,740,740
FEB,m,42,,,,,, ,,,680,680
FEB,m,33,,,,,, ,,,700,700
FEB,f,45,,,,,, ,,,675,975
FEB,f,37,,,,,, ,,,785,785
FEB,f,40,,,,,, ,,,708,708
FEB,f,38,,,,,, ,,,716,716
FEB,f,36,,,,,, ,,,708,708
FEB,m,56,,,,,, ,,,823,823
FEB,f,37,,,,,, ,,,1122,1122
FEB,f,22,,,,,, ,,,665,665
FEB,f,54,,,,,, ,,,664,664
FEB,m,47,,,,,, ,,,660,660
FEB,f,36,,,,,, ,,,660,660
FEB,m,53,,,,,, ,,,950,950
